alba_name,sub_code,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
일반음식점,1010,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.004808825,0.86535289,0.004808825,0.004808825
레스토랑,1020,0.00409169,0.00409169,0.00409169,0.00409169,0.156029307,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.576113608,0.00409169,0.00409169,0.00409169,0.00409169,0.00409169,0.161473147,0.00409169,0.00409169
패밀리레스토랑,1030,0.004488966,0.004488966,0.004488966,0.004488966,0.185042818,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.693755105,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966,0.004488966
패스트푸드점,1040,0.004668495,0.004668495,0.004668495,0.004668495,0.403453464,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.470497163,0.004668495,0.004668495
치킨ㆍ피자전문점,1050,0.004668495,0.004668495,0.004668495,0.004668495,0.403453464,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.004668495,0.470497163,0.004668495,0.004668495
커피전문점,1060,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.269926876,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.581520938,0.005501933,0.005501933
아이스크림ㆍ디저트,1070,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.269926876,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.005501933,0.581520938,0.005501933,0.005501933
베이커리ㆍ도넛ㆍ떡,1080,0.005261628,0.262598827,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.272489661,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.328109193,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628,0.005261628
호프ㆍ일반주점,1090,0.004102174,0.597588983,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.291652331,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174,0.004102174
급식ㆍ푸드시스템,1110,0.004833772,0.521853094,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.004833772,0.34763505,0.004833772,0.004833772
