sub_code,E,I,S,N,T,F,J,P
1010,0.6765853356452813,0.12243002229378375,1.0,0.2952997275204361,0.32341466435471933,0.8775699777062183,0.0,0.7047002724795648
1020,0.5000000000000004,0.0,0.08333333333333326,0.9166666666666665,0.5,1.0,0.9166666666666665,0.08333333333333348
1030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1040,0.7631578947368427,0.526315789473681,0.05263157894736589,1.0,0.23684210526315777,0.4736842105263189,0.9473684210526347,0.0
1050,0.29166666666666674,0.29166666666666685,0.0,0.916666666666667,0.7083333333333334,0.7083333333333334,1.0,0.08333333333333315
1060,0.0,0.7138461538461538,0.29692307692307673,0.3938461538461533,1.0,0.2861538461538452,0.7030769230769234,0.6061538461538456
1070,1.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0
1080,0.9999999999999998,0.4545454545454547,0.6818181818181818,0.4545454545454544,0.0,0.5454545454545453,0.3181818181818183,0.5454545454545454
1090,0.0,0.12500000000000022,0.6249999999999998,0.875,0.9999999999999999,0.875,0.375,0.12499999999999994
1100,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
1110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1120,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
2010,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2013,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
2016,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2020,0.0,0.5,0.08333333333333344,0.08333333333333344,1.0,0.5,0.9166666666666666,0.9166666666666666
2030,0.7226562500000002,0.0,0.023437500000000666,0.5163143382352946,0.27734374999999867,1.0,0.9765624999999987,0.4836856617647054
2050,0.5,1.1102230246251565e-16,0.5000000000000001,0.0,0.5000000000000004,1.0,0.5000000000000001,1.0
2060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2080,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2090,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2100,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2110,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2120,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2990,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
3010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3030,0.33333333333333326,0.6666666666666666,0.0,0.6666666666666667,0.6666666666666667,0.33333333333333315,1.0,0.33333333333333315
3040,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3043,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
3046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3050,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
3060,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
3070,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
3080,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
3090,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
3110,0.0,0.5,0.5,1.0,1.0,0.5,0.5,0.0
3120,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
3123,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
3126,0.5,0.5,0.0,0.5,0.5,0.5,1.0,0.5
3130,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3160,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
3170,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3180,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
3990,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
4010,0.0,0.9999999999999999,4.440892098500624e-16,4.440892098500624e-16,0.9999999999999999,3.330669073875468e-16,0.9999999999999998,0.9999999999999998
4015,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
4020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4030,0.3392857142857142,0.06547619047619074,0.5119047619047619,1.0,0.6607142857142858,0.9345238095238093,0.4880952380952382,0.0
4040,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
4050,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
4060,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
4070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4090,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4095,0.5,1.0,6.661338147750939e-16,0.5000000000000002,0.5000000000000002,0.0,0.9999999999999997,0.5
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4130,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4135,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
4140,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
4149,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4160,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
4170,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
4180,0.9999999999999997,1.0,0.0,1.0,0.0,0.0,1.0,0.0
4190,0.0,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.9999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4210,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
4220,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
4990,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6010,0.0,0.0,0.7499999999999994,0.2499999999999999,0.9999999999999988,1.0,0.2499999999999999,0.7499999999999994
6015,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
6020,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6033,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6036,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
6050,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
6055,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
6060,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
6070,0.5,0.4999999999999999,0.5000000000000001,0.0,0.49999999999999983,0.5000000000000001,0.49999999999999983,0.9999999999999999
6080,1.0,0.0,0.49999999999999994,1.0,0.0,1.0,0.49999999999999994,0.0
7010,0.20000000000000026,1.0,0.0,0.20000000000000015,0.7999999999999997,0.0,0.9999999999999999,0.7999999999999997
7020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7025,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
7030,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
7040,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
7050,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
8020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8040,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
8050,1.0,0.3527348345597389,0.3465646899390789,0.32363258272013,0.32363258272013,0.0,0.10546966911947855,0.0
8056,0.5000000000000003,0.3437499999999999,0.0,0.34375,0.5000000000000003,0.65625,0.9999999999999999,0.65625
8065,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
8075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8085,0.5000000000000004,1.4432899320127035e-15,0.5000000000000016,0.0,0.5000000000000002,1.0,0.5000000000000004,1.0
8095,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
8100,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
8110,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
8990,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
9005,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
9010,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9016,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
9060,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
9061,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
9063,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
9066,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
9070,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
A010,1.0,0.6969696969696961,0.6969696969696961,0.21212121212121182,0.0,0.30303030303030354,0.30303030303030265,0.7878787878787872
A020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A030,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
A033,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
A036,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
A038,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
A040,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
