mbti,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
ENFJ,0.488088807,0.474226843,0.528842237,0.339551813,0.651050624,0,0.59002369,0.243108554,0.470594406,0.584421818,0.538736448,0,0.564877414,0.272471484,0.597176733,0.552592775,0.442858619,0.603632421,0.683951846,0.818948214,0.506816874,0.528177545,0.223605447,0.456369112,0.551699341,0.348382036,0.388466835,0.583035206,0.403186511
ENFP,0.448549116,0.54198671,0.595807559,0.259149054,0.795438603,0.121202175,0.527623443,0.701086688,0.53140423,0.445437226,0.294502366,0,0.623843967,0.32786247,0.658538046,0.548648044,0.264591521,0.595147023,0.325312932,0.757296379,0.274689131,0.256941917,0.584805134,0.907280647,0.598748696,0.465029316,0.456948968,0.462214187,0.403884018
ENTJ,0.358514778,0.606617528,0.472261813,0.425797256,0.858460973,0.273244317,0.320659594,0.617365218,0.556980918,0.541114471,0.637653907,0,0.182154638,0.4765495,0.598757322,0.493276662,0.730172871,0.640594728,0.64109326,0,0.55530417,0.598689014,0.55231756,0.060637517,0.627140492,0.706670035,0.416067483,0.594154501,0.490053584
ENTP,0.35147458,0.608720427,0.584726029,0.222721554,0.814455374,0.445987207,0.514681721,0.707250092,0.418905281,0.355796882,0.455899836,0,0.396602407,0.197523859,0.293901717,0.58823091,0.399436055,0.255719513,0.352121198,0.69546435,0.464475013,0.279279909,0.51562556,1,0.550275737,0.468876968,0.382723531,0.262694122,0.324031539
ESFJ,0.779469667,0.197588722,0.704862592,0,0.976603944,0.299001735,0.434555699,0.752516692,0.629402473,0.530343013,0.538926597,0,0.82803512,0.46523364,0.718550162,0,0.322882447,0.58040699,0.636001733,0.766407251,0.611291387,0.703688888,0.67798363,0,0.722297499,0.712062391,0.699667441,0.352845965,0.447719736
ESFP,0.556898804,0.447738873,0.316225908,0.530508328,0.500381307,0.272829254,0.538547572,0.699099225,0.409828637,0.60788343,0.597587264,0,0.64311893,0.439105501,0.377995578,0,0.518890849,0.568419298,0.526731562,0.480248186,0.596740203,0.288672284,0.482499655,0.546183525,0.484463823,0.524236446,0.602818623,0.487424998,0.408617717
ESTJ,0.491784775,0.479942427,0.297626684,0.503474708,0.556385521,0.273742628,0.487529993,0.7952052,0.73248275,0.562212341,0.610945228,0,0.722156561,0.411290647,0.542862301,0.516939887,0.230781183,0.784213065,0.505967,0,0.634192219,0.784417329,0,0.36857704,0.760102629,0.532548984,0.575868391,0.414907457,0.479437978
ESTP,0.362078468,0.746547177,0.377681061,0.78682865,0.426028998,0,0.785547071,0.890815023,0.298515298,0.612272459,0.803717693,0,0.305672996,0.426342701,1,0.66233081,0.22539232,1,0.475649605,0.395389339,0.395862284,0.503784934,0.627104,1,0.738805703,0.586030947,0.676084372,0.594769883,0.21481639
INFJ,0.513387077,0.511425155,0.283524448,0.418207525,0.379286282,0,0.181082178,0.475693303,0.685102432,0.702667387,0.615745384,0,0.902090132,0.57249356,0.785469436,0.558716165,0.349787352,1,0.431339232,0.701839164,0.685864172,0.666759089,0.513170348,1,0.876079591,0.477636814,0.498074568,0.506796613,0.443063033
INFP,0.534354274,0.671207279,0.588333528,0.507479005,0.60340619,0.656944587,0.502200668,0.850343689,0.468219836,0.542709811,0.534949419,0,0.584547187,0.357061821,0.588743596,0.590457193,0.423440284,0.695456562,0.401925363,0.798838839,0.656639984,0.442193931,0.513002944,0.583268969,0.521039276,0.594115134,0.632368659,0.569357562,0.437235501
INTJ,0.341769815,0.548885027,0.366228015,0.265873213,0.614847874,0.202270084,0.396484967,0.561889716,0.397374922,0.368215832,0.542286138,0,0.456862745,0.221738871,0.395060518,0.550047098,0.442501825,0.37845065,0.357654246,0.69905399,0.40247472,0.514810782,0.436098306,0.468458365,0.509905065,0.597475553,0.36470605,0.408896934,0.358389189
INTP,0.320944936,0.134868979,0.497249964,0.359433159,0.622453767,0.201231428,0.514760763,0.546821904,0.690262757,0.398973104,0.507744329,0,0.747191107,0.499453115,0.517845969,0.737218919,0.408618799,0.508208095,0.384336092,0.127905488,0.613539282,0.323560621,0.844996552,0.635091293,0.639974769,0.746938207,0.456966387,0.459427649,0.305824816
ISFJ,0.52713776,0.720288212,0.531212919,0.540654145,0.743337828,0.306912073,0.436131143,0.685948337,0.540261276,0.532487344,0.447106991,0,0.613345927,0.524438724,0.320670284,0.536614976,0.472854708,0.426984271,0.44572425,0.513340389,0.560286724,0.371683009,0.749716287,0.780897607,0.697509928,0.581121708,0.441071932,0.185486747,0.496963104
ISFP,0.377626541,0.514282784,0.604993743,0.35610958,0.516976083,0.250440005,0.502199429,0.659540162,0.57914432,0.82564583,0.513559818,0,0.519913175,0.237345297,0.444334961,0.923393859,0.265525613,0.479714032,0.336818637,0.877815233,0.611575888,0.421031549,0,0.213206822,0.800877508,0.607900853,0.437818804,0.559118889,0.269140261
ISTJ,0.572150962,0.501027764,0.356770168,0.338803873,0.489057333,0.426886194,0.598612144,0.698717624,0.559582233,0.586145486,0.519864515,0,0.610177449,0.445341037,0.509243983,0.908980873,0.160137691,1,0.437097773,0.65027186,0.673516625,0.520022768,1,0.410749526,0.664752966,0.523731901,0.495209281,0.751929903,0.29466258
ISTP,0.56710257,0.470590195,0.518190582,0.361042248,0.715926144,0.292576698,0.390628663,0.687393391,0.590634033,0.386268724,0.504285996,0,0.718552408,0.289251996,0.334395342,0.612202924,0.398281191,0.253044696,0.526034156,0.852283687,0.493033809,0.390383062,0.401517349,0.652015727,0.651011167,0.554216681,0.450355219,0.278897664,0.287298315
